Geneid_Ls,Transcript_ID,Treatment_logFC,Treatment_pvalue,Interaction_logFC,Interaction_pvalue,A_4_logFC,A_4_pvalue,A_1_logFC,A_1_pvalue
16076,XM_037965371.1,0.148041827,0.97884941,-0.785218339,0.705726368,-0.296605971,0.705704219,0.479606935,0.798926068
16077,XM_037965372.1,-0.168272454,0.886136826,-0.816168509,0.482111315,-0.574232659,0.33397382,0.245419549,0.798926068
16078,XM_037965373.1,0.679027852,0.798698578,-0.401314735,0.907346781,0.509856544,0.705704219,0.904648383,0.798926068
16079,XM_037965374.1,0.176775821,0.961991768,-0.397503144,0.775765547,-0.008005093,0.987836459,0.39069039,0.798926068
16080,XM_037965375.1,-0.188163768,0.998595756,-1.185487012,0.716551816,-0.769294949,0.705704219,0.426714209,0.847930484
16081,XM_037965376.1,-0.13313195,0.919820866,-0.010633803,0.993937732,-0.137657952,0.734466638,-0.132617606,0.798926068
16082,XM_037965377.1,-0.04765718,0.998595756,-0.812053007,0.705726368,-0.441095775,0.705704219,0.373462101,0.798926068
16083,XM_037965378.1,0.387467008,0.948807665,0.551546034,0.887692822,0.538724881,0.705704219,-0.011980576,0.996748795
16084,XM_037965379.1,-0.104203587,0.998595756,-0.245568504,0.940628015,-0.244370951,0.880319635,0.009335506,0.99456081
16085,XM_037965380.1,-0.015850805,0.998595756,9.09E-05,0.999816304,-0.015988842,0.978087921,-0.016143801,0.981158598
16086,XM_037965381.1,-0.084177319,0.99014256,-0.088085184,0.961084934,-0.114266597,0.823198494,-0.031752598,0.979132916
16087,XM_037965382.1,0.01493213,0.998595756,-0.253021962,0.705726368,-0.106367315,0.674377993,0.152229797,0.798926068
16088,XM_037965383.1,-0.019549374,0.998595756,0.254913305,0.751021595,0.107748949,0.716569509,-0.142682469,0.822196366
16089,XM_037965384.1,0.819026526,0.959237349,0.099890848,0.991797071,0.816447772,0.842329199,0.765913396,0.809180008
16090,XM_037965385.1,0.179135905,0.89033613,-0.022158039,0.987959646,0.168020719,0.705704219,0.200942391,0.798926068
16091,XM_037965386.1,-0.059932431,0.998595756,-0.121200105,0.941079742,-0.115119766,0.841756359,0.010891302,0.991092438
16092,XM_037965387.1,-0.157070222,0.998595756,0.239291843,0.979454636,-0.078441705,0.98053918,-0.315200668,0.946719312
16093,XM_037965388.1,0.011163256,0.998595756,1.29456506,0.705726368,0.453449162,0.705704219,-0.827561138,0.798926068
16094,XM_037965389.1,-0.175051419,0.914050652,0.169083634,0.907882875,-0.095403457,0.890042691,-0.27419075,0.798926068
16095,XM_037965390.1,-0.080265928,0.975557343,0.305352167,0.705726368,0.043165473,0.927279566,-0.264450437,0.798926068
16096,XM_037965391.1,0.10709954,0.857154562,0.053097044,0.949715249,0.127200379,0.705704219,0.078606294,0.813600143
16097,XM_037965392.1,-0.063437326,0.98967769,-0.008353855,0.995381434,-0.064570281,0.86749502,-0.057138213,0.950495526
16098,XM_037965393.1,-0.044214504,0.998595756,0.605596319,0.705726368,0.22824156,0.705704219,-0.374329802,0.798926068
